key,algorithm,disparities,block_size,p1,p2,runtime_ms,estimated_memory_mib,valid_percent,saturated_percent,photo_median_abs_gray,photo_inlier_percent,local_outlier_percent,median_disparity_px,p10_depth_mm,median_depth_mm,p90_depth_mm
bm_d64_b5,BM,64,5,,,7.451432999999952,nan,44.21545595326083,0.8820786259810649,5.0,77.68013054271742,37.39745382001622,29.9375,717.42724609375,1358.4686279296875,7394.39208984375
bm_d64_b11,BM,64,11,,,7.511461999996527,nan,41.32989300672227,0.9286022243339317,3.0,85.86026856282166,11.17521515362794,24.0,718.2191162109375,1694.5482177734375,8236.791015625
bm_d64_b21,BM,64,21,,,11.181248000013966,nan,39.4032881075564,0.8009097948122339,1.0,92.1501363531057,4.073845604182426,15.875,762.8446655273438,2561.836669921875,8793.3310546875
bm_d128_b5,BM,128,5,,,11.508558000002722,nan,45.22192746278112,0.29266972864533836,5.0,81.34106745467147,38.332299685041285,50.375,382.3187561035156,807.3281860351562,6639.8623046875
bm_d128_b11,BM,128,11,,,11.461718000020937,nan,47.28304385316581,0.4057341709780734,3.0,86.39745990393226,10.572568358125633,47.6875,407.7108459472656,852.8263549804688,7839.83740234375
bm_d128_b21,BM,128,21,,,17.365275000003066,nan,46.10664572554816,0.4166226727202337,2.0,91.1559627775167,4.660920924884723,30.375,506.78076171875,1338.9022216796875,8450.7333984375
bm_d256_b5,BM,256,5,,,19.16881899998657,nan,42.53114771407454,0.06302132826523071,5.0,77.87070080165503,43.67390742177398,67.9375,209.76998901367188,598.6260375976562,6256.79345703125
bm_d256_b11,BM,256,11,,,19.567332000008264,nan,45.55738130433252,0.024856579734628514,3.0,84.43223929601777,11.342177371654817,50.375,279.5130920410156,807.3281860351562,7655.37060546875
bm_d256_b21,BM,256,21,,,31.27983900000686,nan,46.08145919121529,0.009128743884841447,2.0,89.12859802377201,4.645329132655497,37.3125,311.4918518066406,1089.960693359375,8342.390625
sgm_d64_p20_p40,Vitis-SGM,64,,20,40,1431.348,927.6,84.03052739942983,2.6065313412874387,4.0,76.92190901011624,25.205524993488382,28.0,713.4939575195312,1452.4698486328125,8133.8310546875
sgm_d128_p20_p40,Vitis-SGM,128,,20,40,2665.85,1845.6,89.6837495160666,0.6391220568049837,4.0,81.53575033203788,24.805406790864573,48.0,387.3252868652344,847.2741088867188,8133.8310546875
sgm_d256_p20_p40,Vitis-SGM,256,,20,40,5116.641,3681.6,91.43294882624151,0.13759106746911626,4.0,79.17464090371612,27.63775331609976,59.0,249.5040283203125,689.3077392578125,6778.19287109375
sgm_d128_p10_p20,Vitis-SGM,128,,10,20,2667.79,1845.6,91.69097332207087,0.6161352197937564,4.0,80.62900263773753,35.034648043767966,50.0,383.6712951660156,813.3831176757812,6778.19287109375
sgm_d128_p40_p80,Vitis-SGM,128,,40,80,2675.693,1845.6,89.61467902016682,0.6694778798437334,4.0,81.69726960656169,19.924495975041452,47.0,391.0495910644531,865.3012084960938,8133.8310546875
