distance,algorithm,disparities,runtime_ms,estimated_memory_mib,valid_percent,nominal_inlier_percent,median_depth_mm,p10_depth_mm,p90_depth_mm,median_abs_error_mm,expected_disparity_px,median_disparity_px
50cm,BM,64,7.460356006049551,nan,60.38509316770187,0.0,655.2935791015625,651.3578491210938,660.61572265625,155.2935791015625,81.33831545971483,62.0625
50cm,BM,128,10.953639997751452,nan,41.850931677018636,35.46583850931677,539.5576171875,534.2417602539062,653.3197631835938,40.00537109375,81.33831545971483,75.375
50cm,BM,256,17.732293010340072,nan,41.87577639751553,35.378881987577635,539.5576171875,534.2417602539062,653.3197631835938,40.00537109375,81.33831545971483,75.375
50cm,Vitis-SGM,64,1537.411017998238,927.6,60.310559006211186,0.0,655.9541625976562,655.9541625976562,655.9541625976562,155.95416259765625,81.33831545971483,62.0
50cm,Vitis-SGM,128,2762.4017289926996,1845.6,100.0,99.21739130434783,535.1204833984375,535.1204833984375,542.2554321289062,35.1204833984375,81.33831545971483,76.0
50cm,Vitis-SGM,256,5232.285084988689,3681.6,100.0,99.36645962732919,535.1204833984375,535.1204833984375,542.2554321289062,35.1204833984375,81.33831545971483,76.0
75cm,BM,64,7.48337700497359,nan,79.39924906132666,78.44806007509388,798.4129028320312,795.4847412109375,802.350830078125,48.41290283203125,54.22554363980989,50.9375
75cm,BM,128,11.205314003746025,nan,71.78973717146432,70.36295369211516,799.3937377929688,795.4847412109375,802.350830078125,49.39373779296875,54.22554363980989,50.875
75cm,BM,256,18.565420992672443,nan,71.78973717146432,70.36295369211516,799.3937377929688,795.4847412109375,802.350830078125,49.39373779296875,54.22554363980989,50.875
75cm,Vitis-SGM,64,1500.6477610004367,927.6,98.89862327909887,94.6433041301627,797.4344482421875,797.4344482421875,813.3831176757812,47.4344482421875,54.22554363980989,51.0
75cm,Vitis-SGM,128,2725.328514003195,1845.6,100.0,92.540675844806,797.4344482421875,782.0991821289062,813.3831176757812,47.4344482421875,54.22554363980989,51.0
75cm,Vitis-SGM,256,5175.262160992133,3681.6,100.0,91.78973717146432,797.4344482421875,782.0991821289062,813.3831176757812,47.4344482421875,54.22554363980989,51.0
