disparities,p1,p2,nearest_depth_mm,raw_positive_coverage_pct,raw_usable_coverage_pct,disparity_saturation_pct,lr_consistent_coverage_pct,lr_acceptance_of_raw_pct,raw_photometric_median_abs_error_gray,raw_photometric_inlier_le15_pct,lr_photometric_median_abs_error_gray,lr_photometric_inlier_le15_pct,raw_local_outlier_gt2px_pct,lr_local_outlier_gt2px_pct,lr_median_disparity_px,lr_depth_p10_mm,lr_depth_median_mm,lr_depth_p90_mm,cpp_compute_median_ms,cpp_compute_min_ms,cpp_compute_max_ms,right_audit_compute_ms,estimated_cpu_working_set_mib,repeated_raw_output_match_pct,cpp_raw_visual_match_pct,common_roi_pixels,lr_consistent_pixels,config_directory
64,10,20,495.3214319182539,99.11839820206355,96.0838696496067,3.0345285524568393,59.91508325671672,62.357067294657995,3.0,76.69804851339354,3.0,81.16460325613215,17.167159590158178,0.15346959334492882,22.0,567.3681640625,1418.42041015625,6241.0498046875,1183.399,1177.444,1187.362,1180.99,757.8,100.0,100.0,783120,469207,details/d064_p1010_p2020
64,20,40,495.3214319182539,99.34071406680968,95.51639595464296,3.8243181121667176,67.14820206354071,70.30018395525181,3.0,76.93981882546711,3.0,83.64194420092383,9.593107051489929,0.07135992997212205,9.0,577.875,3467.25,6241.0498046875,1145.726,1125.92,1149.314,1148.333,757.8,100.0,100.0,783120,525851,details/d064_p1020_p2040
64,40,80,495.3214319182539,99.43252630503626,94.31159975482684,5.120926550209418,66.43209214424354,70.4389410390036,3.0,76.10053440892099,3.0,84.50723988597636,8.208224198784123,0.04144921529099233,8.0,588.7783203125,3900.65625,6241.0498046875,1177.015,1174.026,1183.055,1180.006,757.8,100.0,100.0,783120,520243,details/d064_p1040_p2080
64,10,40,495.3214319182539,99.51820921442436,95.92591173766472,3.592297476759628,67.91028194912657,70.79451288911963,3.0,77.06275833150296,3.0,83.28416246880988,8.363466612424325,0.09065258529841698,11.0,577.875,2836.8408203125,6241.0498046875,1171.267,1163.217,1178.543,1173.294,757.8,100.0,100.0,783120,531819,details/d064_p1010_p2040
64,20,80,495.3214319182539,99.56277454285423,94.83884972928797,4.7239248135662475,68.23896720809071,71.95254624331159,3.0,76.07936965296983,3.0,83.96554595587891,7.310849789216774,0.04463764246499908,8.0,577.875,3900.65625,6241.0498046875,1166.394,1159.86,1169.82,1161.491,757.8,100.0,100.0,783120,534393,details/d064_p1020_p2080
128,10,20,245.71063158149602,99.76657472673409,99.61602308713863,0.1505516395954643,71.14145980181837,71.4156795233511,3.0,80.70420567276791,4.0,79.9760555568519,14.887547997805815,0.03677360493045599,47.0,331.9707336425781,663.9414672851562,6241.0498046875,2162.906,2160.676,2163.018,2168.137,1507.8,100.0,100.0,783120,557123,details/d128_p1010_p2020
128,20,40,245.71063158149602,99.92389416692205,99.86157932373072,0.06231484319133722,80.29982633568291,80.41113196834928,3.0,80.917758261768,3.0,81.71740527062356,6.178753470123174,0.045507996665174,41.0,346.7250061035156,761.1036376953125,6241.0498046875,2159.865,2159.164,2159.939,2162.292,1507.8,100.0,100.0,783120,628844,details/d128_p1020_p2040
128,40,80,245.71063158149602,99.98135662478292,99.95058228623965,0.030774338543262846,79.07293901317806,79.11203437187393,3.0,79.69690814109026,3.0,82.63779883598498,5.1920307280276585,0.03496571417471202,33.0,362.85174560546875,945.6136474609375,6241.0498046875,2162.868,2161.734,2167.204,2162.581,1507.8,100.0,100.0,783120,619236,details/d128_p1040_p2080
128,10,40,245.71063158149602,99.96909796710594,99.94049443252631,0.028603534579630198,83.10054653182144,83.15002542630587,3.0,81.29288293422125,3.0,81.16682058523888,3.9729846906323907,0.03354387706839932,41.0,342.9148254394531,761.1036376953125,6241.0498046875,2159.905,2120.785,2161.831,2160.542,1507.8,100.0,100.0,783120,650777,details/d128_p1010_p2040
128,20,80,245.71063158149602,99.99106139544386,99.97484421289202,0.016217182551843908,83.40714066809684,83.42812767028175,3.0,79.65994101591089,3.0,80.95174669079485,3.1577301052016593,0.03236651104278181,39.0,354.6051025390625,800.1346435546875,6241.0498046875,2158.905,2157.511,2161.311,2161.932,1507.8,100.0,100.0,783120,653178,details/d128_p1020_p2080
256,10,20,122.37353023862742,99.82748493206661,99.73196955766677,0.09551537439983655,67.4204464194504,67.60163939253874,4.0,79.28327151254575,4.0,79.37888151701854,19.404754751747483,0.03145282076884673,50.0,325.0546875,624.10498046875,6241.0498046875,4202.918,4200.373,4239.988,4214.241,3007.8,100.0,100.0,783120,527983,details/d256_p1010_p2020
256,20,40,122.37353023862742,99.94151598733272,99.89899376851568,0.042522218817039534,77.22545714577588,77.30353853685598,3.0,80.37539193868564,3.0,81.21213423990687,8.085520429953048,0.05261537382248742,41.0,342.9148254394531,761.1036376953125,6241.0498046875,4149.311,4149.053,4154.752,4161.854,3007.8,100.0,100.0,783120,604768,details/d256_p1020_p2040
256,40,80,122.37353023862742,99.98327204004495,99.96922566145673,0.014046378588211257,76.20070998059046,76.22416746393759,3.0,79.6148574683955,3.0,82.0993291919637,5.864415733741464,0.032676986305984604,34.0,358.6810302734375,917.8014526367188,6241.0498046875,4199.023,4198.022,4200.301,4204.431,3007.8,100.0,100.0,783120,596743,details/d256_p1040_p2080
256,10,40,122.37353023862742,99.97548268464602,99.95517928286853,0.020303401777505364,81.34806926141587,81.384546398746,3.0,81.00193032682694,3.0,80.80426589310466,4.9133442360374975,0.03168373500132867,41.0,342.9148254394531,761.1036376953125,6241.0498046875,4196.127,4192.753,4210.291,4210.161,3007.8,100.0,100.0,783120,637053,details/d256_p1010_p2040
256,20,80,122.37353023862742,99.99208295025028,99.98480437225457,0.00727857799570947,81.11515476555317,81.12748259580766,3.0,79.60245261500305,3.0,80.46499766226039,3.4561637589752663,0.028668384692329026,40.0,350.62078857421875,780.1312255859375,6241.0498046875,4197.361,4190.607,4201.602,4221.974,3007.8,100.0,100.0,783120,635229,details/d256_p1020_p2080
